t,x,y,z
1,353.02,76.503,58.994
1,353.25,131.9,58.688
1,353.53,199.75,59.288
1,361.5,659.5,61.887
1,378.9,623.67,59.955
1,345.93,407.47,60.28
1,352.52,252.93,60.64
1,352.66,146.88,59.688
1,371.38,636.64,61.866
1,385.4,612.62,62.028
1,401.45,587.65,61.442
1,405.41,317.74,61.277
1,348.41,343.4,60.736
1,348.83,332.55,60.449
1,474.11,391.79,61.346
1,343.18,641.9,63.139
1,343.08,625.17,62.576
1,344.76,568.83,62.438
1,347.27,517.99,62.781
1,350.84,364.59,62.324
1,360.93,99.642,62.939
1,376.46,137.2,63.385
1,391.08,367.0,63.055
1,457.72,494.71,64.471
1,343.28,617.69,63.318
1,346.27,538.02,63.383
1,348.73,497.9,62.526
1,358.25,121.17,62.982
1,360.37,57.278,63.708
1,426.89,247.16,64.919
1,343.84,689.25,64.53
1,346.87,635.84,64.127
1,351.1,484.91,65.115
1,354.25,699.72,66.296
1,358.3,224.12,61.607
1,358.19,684.28,65.544
1,358.19,196.57,62.143
1,362.61,37.05,63.477
1,379.86,520.61,65.732
1,405.52,195.39,67.988
1,425.57,345.49,65.957
1,440.04,280.84,66.793
1,347.31,665.34,66.163
1,351.61,510.9,65.308
1,361.38,230.06,64.027
1,362.51,244.67,64.938
1,364.64,101.48,64.466
1,370.46,16.229,66.372
1,392.79,373.69,64.523
1,423.73,224.92,67.035
1,450.56,309.38,68.004
1,348.7,658.28,67.106
1,355.53,410.23,66.967
1,356.91,349.36,66.525
1,363.64,180.18,66.092
1,446.25,292.27,68.695
1,351.87,596.9,68.067
1,353.99,469.7,67.141
1,353.84,549.87,68.028
1,358.37,310.37,66.409
1,365.51,134.27,67.137
1,372.19,86.496,67.392
1,371.4,655.52,68.496
1,438.33,270.05,67.089
1,453.41,404.92,67.809
1,474.62,472.58,69.143
1,353.45,582.5,68.936
1,353.64,607.03,69.562
1,358.81,434.25,69.554
1,358.91,403.48,68.442
1,360.52,377.23,69.348
1,359.55,702.01,69.272
1,364.69,187.76,66.357
1,389.34,146.38,70.32
1,393.27,605.56,69.97
1,354.81,567.5,69.145
1,361.99,298.63,68.951
1,364.73,361.9,70.39
1,370.13,13.448,67.32
1,372.66,77.838,69.5
1,381.26,42.639,70.533
1,382.88,100.72,70.676
1,419.96,382.84,71.036
1,430.86,528.47,70.077
1,473.99,420.36,71.859
1,480.13,410.67,70.011
1,354.32,636.45,69.214
1,355.46,651.21,70.524
1,358.07,536.31,70.537
1,358.99,486.23,70.375
1,361.1,475.68,71.132
1,362.54,346.19,69.98
1,363.51,685.36,71.999
1,365.82,264.15,68.144
1,371.22,65.708,69.371
1,382.23,8.9345,71.507
1,384.57,60.176,70.964
1,384.11,68.02,70.936
1,404.48,448.64,72.628
1,361.75,378.7,70.093
1,399.9,431.83,73.763
1,402.66,381.04,73.516
1,409.34,579.75,72.286
1,450.0,508.42,71.487
1,465.03,449.72,72.448
1,359.29,619.68,72.861
1,360.4,599.4,73.107
1,365.19,412.83,72.463
1,369.67,242.82,71.114
1,373.0,668.82,76.108
1,375.0,45.024,71.557
1,385.67,310.09,71.986
1,404.36,590.62,73.803
1,408.17,399.47,73.579
1,419.06,556.56,73.058
1,444.24,282.11,73.182
1,358.8,660.48,73.064
1,362.12,589.17,73.176
1,364.39,428.77,72.822
1,365.72,388.84,72.666
1,367.95,289.88,72.588
1,367.87,280.61,71.595
1,371.29,360.06,74.926
1,373.83,145.43,72.21
1,376.19,18.476,72.738
1,376.14,160.25,73.318
1,383.89,74.441,72.639
1,392.31,413.3,74.975
1,426.82,223.22,72.722
1,435.3,406.03,74.419
1,360.98,677.35,73.982
1,362.03,653.36,73.762
1,378.09,113.13,74.614
1,384.03,633.78,76.102
1,396.55,285.46,76.273
1,398.01,311.5,74.999
1,400.98,274.19,73.749
1,433.95,469.56,76.215
1,633.88,166.15,77.13
1,379.7,129.16,73.786
1,404.03,412.01,76.7
1,405.71,380.91,76.131
1,376.7,252.16,75.321
1,378.76,204.73,74.579
1,387.86,11.689,74.191
1,397.84,592.29,78.735
1,399.18,135.14,76.752
1,366.49,611.96,77.383
1,367.87,602.41,77.421
1,373.28,405.08,77.962
1,373.03,453.76,78.399
1,373.63,358.56,76.804
1,381.66,433.89,78.334
1,395.9,184.49,77.155
1,369.31,689.81,78.706
1,371.23,554.65,78.748
1,371.97,344.42,77.65
1,379.87,233.36,74.725
1,384.51,163.96,76.837
1,421.09,192.64,79.843
1,428.38,431.83,79.541
1,463.04,341.3,78.785
1,373.08,565.95,80.405
1,374.15,421.2,79.578
1,375.38,337.36,79.423
1,375.06,367.0,78.187
1,375.77,368.32,78.833
1,379.83,267.67,77.936
1,372.87,520.77,80.092
1,378.44,304.24,80.319
1,378.1,697.45,82.249
1,379.29,675.62,82.175
1,380.49,309.36,80.207
1,385.66,646.52,82.385
1,438.27,537.2,82.769
1,438.62,519.77,80.762
1,484.3,410.51,74.624
1,373.98,545.43,81.713
1,373.89,583.39,82.091
1,375.06,572.65,81.856
1,378.76,397.63,81.516
1,381.85,249.99,78.524
1,388.94,209.82,80.293
1,390.92,174.24,79.41
1,405.44,143.08,83.177
1,373.77,665.83,81.995
1,381.21,433.98,79.093
1,381.05,382.74,82.811
1,381.22,406.77,82.418
1,384.75,281.85,80.817
1,389.98,147.08,81.007
1,394.9,53.744,80.5
1,436.67,537.19,82.238
1,451.25,299.65,82.212
1,459.36,331.09,82.443
1,615.04,162.63,84.613
1,378.68,443.52,83.566
1,383.91,650.64,83.982
1,390.24,37.859,81.973
1,389.89,108.08,83.329
1,409.76,288.07,83.206
1,481.81,421.5,83.694
1,486.29,467.84,85.569
1,646.21,180.76,85.774
1,649.3,156.25,85.663
1,377.99,564.36,83.717
1,386.33,662.71,85.778
1,550.46,209.96,86.875
1,383.48,639.99,85.75
1,384.68,685.04,87.071
1,387.48,671.62,87.482
1,397.86,612.19,86.93
1,405.77,480.97,85.699
1,406.88,503.04,85.438
1,412.96,213.62,85.479
1,415.44,272.96,85.426
1,418.11,204.26,86.03
1,452.44,313.45,86.548
1,485.23,436.19,85.414
1,514.12,473.32,86.996
1,570.02,197.93,87.881
1,380.01,690.75,87.043
1,382.11,493.63,86.281
1,383.97,345.64,85.563
1,390.68,289.87,87.359
1,392.08,30.588,85.452
1,393.97,629.39,88.242
1,397.33,161.09,85.6
1,398.47,196.17,85.419
1,440.66,531.87,86.778
1,562.02,195.5,88.044
1,386.29,634.56,86.229
1,390.71,316.24,87.911
1,398.52,310.34,87.056
1,399.53,603.98,88.249
1,409.78,205.97,84.919
1,419.08,549.93,87.856
1,429.39,205.37,88.561
1,507.51,472.85,89.137
1,656.15,164.88,89.936
1,387.61,459.52,89.99
1,391.43,269.56,87.225
1,392.51,261.9,88.016
1,393.22,650.68,89.555
1,396.51,6.0477,87.117
1,398.69,141.14,87.748
1,400.72,20.227,88.104
1,400.79,205.57,85.724
1,402.61,59.861,87.057
1,417.23,206.14,86.976
1,418.14,164.98,87.73
1,417.35,555.94,88.616
1,434.22,544.71,90.337
1,442.14,539.65,88.343
1,452.14,553.63,89.588
1,634.53,187.57,87.001
1,643.98,131.43,90.309
1,650.34,216.46,91.397
1,394.74,644.59,90.046
1,395.66,279.62,89.789
1,405.45,585.02,89.697
1,445.37,491.95,89.988
1,606.85,160.06,90.641
1,391.24,351.79,90.592
1,392.34,186.6,89.329
1,421.09,155.69,92.863
1,445.66,269.15,90.863
1,446.82,552.73,91.275
1,458.08,487.96,88.051
1,478.86,475.19,88.098
1,493.75,458.58,90.481
1,643.62,148.64,90.029
1,389.63,602.48,91.654
1,390.38,358.64,90.705
1,391.08,583.66,92.281
1,393.15,333.39,91.506
1,398.46,247.17,89.514
1,402.09,115.69,91.17
1,401.51,146.4,89.3
1,408.46,94.661,90.852
1,420.72,411.88,92.37
1,464.29,374.62,91.324
1,539.29,240.99,93.34
1,638.57,213.74,93.523
1,660.23,216.63,94.021
1,390.59,453.03,92.335
1,390.01,461.48,91.9
